Day 5 pos,Day 5 neg,,Day 10 pos,Day 10 neg,,Day 15 pos,Day 15 neg,,Day 20 pos,Day 20 neg
NRIP3,LLPH,,AOC3,PCNT,,ZMYND10,SNX13,,OR6K2,SLC36A4
RPA2,RHOBTB3,,OR2L13,CD52,,MYRIP,TTC29,,HDAC4,SCN1A
ZNF747,HMGN5,,WNT3,PEX11A,,SLC16A8,HMP19,,SRSF5,ZNF558
DGKH,SLC29A4,,ABCF1,BVES,,FCRLB,TRIO,,PGM2,SUGP2
CTCF,TTLL3,,ACAP1,CLDN4,,ADCY10,DTYMK,,BACE2,RAB5B
CYBRD1,GABARAPL2,,ARL13A,TMSB10,,NEUROD4,TMEM119,,PTGES2,ELANE
C3orf79,CLIC4,,TMEM109,SHROOM3,,COL6A1,ORM1,,CDK11A,FOXD3
POLDIP3,ADHFE1,,PKDREJ,PDIA6,,MON1B,FAM108A1,,SBNO2,PNMA2
PGLS,ZG16B,,SULT2A1,KANSL3,,TMEM55A,PRR25,,C20orf197,SLC17A6
FADS6,SHROOM3,,TCP1,C9orf66,,NUP153,INS,,CTRL,MPP3
IGFBP2,TMCO5A,,ILF2,TMEM202,,CHMP5,LACTB2,,LRIT2,CTD-3193O13.2
C22orf40,POLR2B,,NKX2-1,SFT2D3,,SST,SF3B2,,UBOX5,TMEM45B
TAOK1,TAS1R2,,05-Mar,UBAP1,,P4HTM,CKS2,,SLC12A8,ZNF93
C1orf194,UBE2I,,TBX3,PPIF,,LRRC71,TEX12,,EEFSEC,NRF1
ANKRD13A,PSMD14,,RALGDS,PPT2,,MNT,OR6C1,,SLAMF7,AP1G2
ALKBH2,CCDC122,,USP5,CSNK2B,,KAT8,OR10H1,,PLXNB2,CDO1
GRIN2D,SIX5,,TAZ,KRT7,,H3F3C,MYO1B,,ZPBP2,CNST
DPEP2,CHD6,,PLD3,CENPP,,MFSD10,MMRN2,,AFF4,CPM
NRTN,PAQR9,,TDRD12,SLC24A3,,OR2B2,OR2A2,,DRD2,NAT6
FAM118B,NKX2-8,,FAM83G,UBAP1L,,RNF149,CABS1,,CAPZA2,LIG3
PLA2G4D,KLF2,,ZNF527,WSCD2,,NDUFV3,UBQLN3,,AMT,WDR27
CCL17,RLIM,,RIMS4,KCTD12,,APOC4,TMEM116,,LGALS1,TINAG
RPS6KA2,ZBTB42,,LOH12CR1,RHCG,,GPR142,CD244,,DNASE1L2,KRTAP4-8
CD36,DYDC1,,PER2,DOC2A,,EEFSEC,HOXB5,,NSUN4,CREBBP
C17orf48,LACRT,,GBP7,PCDHB15,,MAPKAPK5,CYP26A1,,MNT,PUS10
BROX,TLX2,,SLC10A5,ANKRD36,,ACSM1,KANK1,,BNC2,ENDOG
PRKAR1A,CHRNA5,,RHPN2,CASC4,,CBX1,ERCC5,,ZIK1,OR10H3
AIG1,PARM1,,BMP2,PSD4,,HGFAC,CTSD,,PAOX,LPA
HINT1,PCDHB14,,P2RY10,CEBPE,,TFAP2D,MAP3K10,,GGCX,POGLUT1
UBL3,CLPP,,ZNF606,BEND5,,EXOC4,OR10A5,,DAG1,FGFR1OP2
RAP2A,COMMD2,,FBXW10,FBN1,,EFNA2,PCDHA4,,GPR15,MEF2BNB
BYSL,C10orf68,,SLC6A16,SIX5,,SPRED2,SRF,,YBX2,CCL24
LY96,RAD51,,AGRN,MLFÊ2.00,,GCFC1,PIGM,,CLK1,CDH8
FTSJD1,PIK3CG,,LRRC71,TAF10,,AGXT2L2,TRIM17,,STX1B,SLC2A2
AGRN,FAM181B,,WNT8B,C1orf210,,ITFG3,MYT1L,,WDR48,DZIP1L
EPYC,LEP,,SLC45A3,BLID,,LCE6A,CXorf27,,DYRK3,AP3M1
AZIN1,BRWD3,,TRAM1,OR5B21,,05-Mar,GATM,,ANKRD12,SLC36A1
PFDN6,TMEM244,,GSTA4,MLIP,,SOCS6,ALOX5,,NTS,OR4S1
NUDT12,OR4A47,,CCDC87,CLPSL1,,SGMS2,FBXO27,,ANGPTL3,PRDM9
CHRNA10,PRKAR2B,,SLC25A5,C1QL3,,HYI,CCT8,,FIGLA,SLCO1B3
CSDC2,C4orf47,,SORD,SEC11C,,EAPP,SPATA24,,ZNF518B,SLC25A34
SFRP5,RHOXF2,,CRTC2,SPOPL,,SOWAHC,BRMS1L,,C14orf118,C2orf48
CBX2,CCL20,,IKBKG,RIOK1,,CCNE2,GFOD2,,TMEM61,PAIP2B
B4GALNT4,SPPL2C,,BEST2,KIF5B,,PLCL1,CMYA5,,TOP3B,PHF23
VIL1,MRPS23,,CRISPLD1,NRAS,,PDCD4,RPS6KA6,,NUB1,C12orf54
COMMD9,ZNF846,,TDRD7,HOXB7,,PLGRKT,CHSY1,,THBS2,HDAC6
AMT,KIAA0408,,NTRK1,SND1,,EEF1D,FAM166B,,CLSTN3,CPSF2
AJUBA,C5orf43,,DDX20,RLIM,,GLI2,ISY1,,ATAD2B,FOSL2
INTS4,HS3ST3A1,,ZC3H12A,AGBL3,,C9orf64,TBX10,,NEFH,SULT1C3
SLC45A1,LTA,,NHSL1,RPL35,,GJB1,DDX55,,NIT1,LRRC55
ADCK3,CPVL,,DCDC2B,TLX2,,MGAT4C,PAAF1,,C3orf35,SMG9
HIVEP1,KCNA5,,GRIK5,NHP2L1,,C11orf63,DAPL1,,ODZ1,GDE1
PGPEP1L,CERCAM,,CARD9,RPL10,,SMPDL3B,RMND1,,CECR1,ZNF607
ARHGAP31,MYH2,,POU3F3,C10orf68,,RBPMS2,ZNF100,,ERRFI1,CYP2C9
CLIP3,LY6D,,ALOXE3,TSPYL4,,PRKX,MED19,,SH3D21,GRK5
CENPE,TMEM119,,ZFX,MIOS,,SYT9,OR2B11,,L1TD1,PRR13
NME9,LACTB2,,SNURF,WDR4,,LUZP4,HS3ST3B1,,TINAGL1,STYX
GALNTL1,OR6C1,,KIR2DL4,SRP14,,DICER1,SNX11,,,NOP16
STK4,OR2K2,,GJC1,MYCBPAP,,MSX1,SIGLEC15,,,PATL2
COX14,OR2A2,,COMMD9,RAD51,,FAM151A,C6orf222,,,TMED10
GPC5,DNAH12,,TEPP,OR13H1,,SMAD1,SPECC1L,,,VWCE
NHSL1,MYT1L,,OR5V1,APCDD1L,,SAT2,DNAL1,,,ZFP92
C19orf77,OR5R1,,LGALS8,MGAT3,,ATP11A,SLC25A17,,,TUBB2A
CCND3,CXorf27,,C4orf26,PAX9,,SPRY2,EIF1,,,FOXF2
TANK,C10orf54,,MTHFD2L,GNL3L,,C11orf85,C12orf40,,,FBXW5
IFI27L2,CD14,,ATP6V1G3,FAM181B,,PIGL,C16orf87,,,HNRNPH2
TM6SF2,CCT8,,FKBP11,MMP17,,HMG20A,BAK1,,,GOLT1B
METTL21D,OST4,,SLC16A3,KRTAP9-1,,TCEA2,PLOD3,,,CLSPN
TULP2,OR5A1,,TRIM28,APOBEC1,,ELMO1,MMP24,,,ZNF26
HAUS5,DGAT1,,KCNJ15,NPAS2,,ADAMTS18,ALG14,,,WDR86
HIST2H2BF,BAK1,,C20orf27,MDN1,,CRHR2,HTR3B,,,CRYBB2
UBTD1,GALNT1,,LHFPL1,C4orf47,,IDNK,DOPEY1,,,ADCY4
LMTK2,ZNF121,,ATP5G2,FAM177A1,,SPATA8,CYP2A6,,,PYDC1
XDH,GNPDA2,,SLC16A1,NADSYN1,,PIK3R5,ATF5,,,ZNF429
PIK3C2B,CABP4,,MSI1,SPINK9,,EFHD1,ADRB1,,,ZFP41
EIF1AD,ADRB2,,GNB2,BBS2,,USP5,TMPO,,,RPL10A
TCEB3,TNKS1BP1,,CHRDL2,SBK1,,BRSK2,IKZF5,,,KRTAP5-1
TPPP,CNST,,C7orf33,C12orf77,,SLPI,UBR4,,,NXPH1
CPN2,P4HB,,GIT1,DYTN,,CCDC146,C1orf114,,,PRAMEF10
LBR,,,BLCAP,STARD7,,LRRC8E,RXFP2,,,TASP1
ZNF594,,,TXNL4A,KCTD17,,UBE2E3,SNX25,,,RFWD3
NTRK1,,,SIGLEC8,LYSMD4,,HTR2B,DAGLA,,,LRRC31
RINT1,,,ZNF540,FUT1,,PRDM13,ZNF324,,,SLC35C2
TXNL4A,,,ALG3,MYOZ3,,ASB5,GPRIN2,,,RBM12
RALGDS,,,RP11-744I24.1,SPPL2C,,XDH,NFE2L1,,,ADAD1
TOPBP1,,,THNSL1,PARP10,,ZNF615,C3orf25,,,OR2F2
TIMD4,,,PCK2,SYT11,,CHRNA6,CD34,,,ZNF812
AKR1B10,,,FAHD1,PIGM,,RIT2,TNF,,,SHCBP1L
ZNF268,,,YWHAH,MRPS23,,CILP2,ELL2,,,UBR3
C7orf72,,,ERP29,SPZ1,,UPK1A,AMIGO2,,,EIF5A2
KCNN4,,,GPR139,CYP4F2,,IRGC,EFCAB4A,,,ITPKC
CHRM1,,,ZNF280D,PRPF38A,,RAB40C,EPB41L4A,,,FAM48A
ARL13A,,,ANKLE1,TTC3,,NMRAL1,NUDT2,,,SLC1A7
OR8B4,,,MYOD1,HS3ST3A1,,ASTN1,CCL8,,,TMEM38A
MYOD1,,,TRHR,ZNF649,,PLXNB2,OR2L8,,,KCNQ1
SKIV2L,,,H3F3C,NAA40,,AGRN,PIK3C3,,,ZNF592
ZBTB45,,,SCNM1,CPVL,,SLC7A4,LRRC48,,,P2RX5
REEP3,,,CNGB3,KCNA5,,DSN1,PDZRN3,,,CST2
CLDN12,,,GRINA,ZFP2,,ZSWIM6,CBX4,,,KRTAP10-2
GLS,,,WNT3A,MMADHC,,DRD2,SDR39U1,,,HTR1F
GNB2,,,PPP2R2C,TMEM119,,NXPH2,C10orf54,,,GABRE
TDRD6,,,C1orf122,FAM108A1,,CCL25,CABP4,,,CCDC56
DSN1,,,PKIA,OR2A2,,ZMAT4,CCDC84,,,SORCS2
FNDC3B,,,KAT6B,C3orf24,,NAA50,SLC25A38,,,CXCL10
MRAP,,,IQCD,DNAH6,,FNDC7,PYGO2,,,KIF7
C15orf41,,,AGXT2L2,RP11-110H1.2,,SIGLEC12,STMN1,,,FOXN2
ANKLE1,,,ZSWIM4,DNAH12,,GIT1,TXNRD2,,,CTAGE9
OTOP1,,,CYBB,FRMPD2,,MST1,TXNDC9,,,C5orf38
C1orf105,,,RAD51AP2,CXorf27,,MAP2K4,STC1,,,ROBO1
GREM2,,,KIR3DL3,MYT1L,,CD300E,TAF13,,,EPS8L2
ZNF611,,,HOXC5,KRBOX1,,AVPI1,LCN2,,,SPRED3
ZBTB17,,,TACR3,FBXO27,,SRSF5,MORC2,,,OR6C4
ARHGEF7,,,ST6GALNAC3,SQSTM1,,SUCLG1,HKR1,,,AQP6
TUFT1,,,IFI27L2,CACNG5,,C1orf122,RRBP1,,,ZBTB48
PFDN2,,,EGLN3,TSPAN12,,IL36B,CCDC102B,,,FCRL2
SH3TC1,,,UGT2B15,RMND1,,KRT84,SLC10A6,,,IGSF10
PDCD4,,,ZNF213,FTMT,,CD99L2,SPG11,,,CXCL12
CCL5,,,LRP2BP,SIGLEC15,,ANXA11,STAT2,,,PARVG
USP34,,,PPP1R17,DNAL1,,TRIM28,FBXO48,,,ENTPD7
TRAK1,,,BBIP1,SSTR3,,ARHGAP35,DCUN1D2,,,EDF1
POU3F3,,,MOCS2,LDLRAD1,,B4GALNT4,RRP9,,,CLCA1
USP11,,,SYT9,EIF1,,OVOL1,RBM19,,,GPR56
SLC17A1,,,HCCS,ARAP3,,TP53AIP1,DNPEP,,,PPP2R5E
ISY1,,,TMEM159,BAK1,,RRNAD1,OSGIN2,,,RP3-486B10.1
BAG3,,,BUB3,CYP2A6,,AP5S1,ADRB2,,,FAM118A
BCL11B,,,CSRNP3,TMEM14B,,ARNT,SNRNP35,,,KISS1R
IGF2R,,,TDP1,CYLC2,,TMEM63A,FCHSD2,,,ADAT3
PDCL2,,,C1orf49,IKZF5,,ARHGEF18,EMC4,,,BIK
GPR146,,,MPPED2,RBM25,,ZRANB1,SPANXN2,,,KRT12
RUVBL2,,,CXCL2,ZNF480,,CCDC106,TAS2R41,,,EPN2
LONP1,,,HMG20A,A4GALT,,COLEC11,KRT2,,,MGAM
ZWILCH,,,PTGFRN,RGCC,,CLIP3,NDE1,,,STIM1
DCDC2B,,,SMAD7,RGS16,,HRASLS5,PEX2,,,MAGEB18
PIPOX,,,SLC38A9,CCL8,,MRPL21,CNEP1R1,,,GUCY1A2
CREBRF,,,OGT,ZNF638,,THTPA,AP1G2,,,OR11G2
BLCAP,,,MGAT4C,C18orf63,,RSG1,CNST,,,DOCK5
DMBT1,,,ASB5,SDR39U1,,ZMAT5,NAT6,,,OR52D1
SIGLEC8,,,LIN52,GNPDA2,,CAPN11,ZNF238,,,OR56B1
ZNF540,,,CEP170,CABP4,,LBX2,AP3M1,,,SERPINF1
LARGE,,,KAT8,SLC25A38,,STARD3,SLC36A1,,,PRKACG
PSG9,,,FLG,EMR2,,ZNF544,NUFIP1,,,WIPF1
LAYN,,,HSD3B1,OAS3,,RTF1,SLC25A34,,,GSC2
VWC2L,,,FASTK,HILPDA,,KIAA2018,CPSF2,,,NFE2L3
CASC3,,,RTEL1,WBP2,,TMEM184C,CYP2C9,,,FAM129C
ATP6V1G2,,,AMT,COPS7A,,EML2,IL27RA,,,TOMM20L
BEST2,,,PAX8,ACTL9,,,VWCE,,,CAPNS2
SLC35B3,,,ADCYAP1R1,KCNJ16,,,CCDC24,,,REPS2
NACC2,,,BARX2,TSLP,,,FOXF2,,,CHAC2
HIST1H3A,,,XRCC1,HEXB,,,RGS1,,,ODF3B
KLF9,,,GOT1,ELANE,,,MBD3L1,,,WBSCR27
ENTPD5,,,ARHGEF18,CTD-3193O13.2,,,ZNF429,,,OR10A6
LGI4,,,ARNT,CNEP1R1,,,PRAMEF10,,,FAM177B
ALOXE3,,,KCNJ1,CPM,,,UBE2G1,,,TCEANC
BPIFB4,,,EVI5,TINAG,,,PAH,,,RGS9
CHRNA6,,,INSM2,VAMP8,,,ATF4,,,H2BFWT
USP6,,,CDK20,PRAMEF10,,,CTAGE9,,,ZFP3
WNT3,,,ANXA11,WDR88,,,AQP6,,,TP53BP1
SERPINA1,,,RAD54L2,UBR3,,,GTPBP2,,,CCDC75
HGFAC,,,CD6,TMEM38A,,,MAGEB18,,,EXD2
ALG1,,,C10orf25,AQP6,,,SERPINF1,,,POLR3G
LIN52,,,OVOL1,ADAT3,,,TAS2R50,,,AP3S1
MCEE,,,NEIL2,OR52D1,,,SLC25A33,,,GLTSCR2
RNF165,,,POLR1B,,,,CHAC2,,,HIST1H1T
ATF7,,,CAPN11,,,,LRRC32,,,ZNF235
CNPY1,,,SLC7A4,,,,OR10A6,,,PSG3
EIF2C1,,,S100A1,,,,FAM177B,,,ADH1A
C17orf74,,,ABCA3,,,,SUGT1,,,PODXL2
PDPR,,,TCF21,,,,PODXL2,,,TMEM123
STAM,,,ATP6V1G2,,,,CWC25,,,CWC25
NAT6,,,IRX6,,,,C3orf17,,,GHDC
HAGHL,,,,,,,CRYGB,,,UPK3A
P4HTM,,,,,,,SYT5,,,ESRP2
USP5,,,,,,,IMPACT,,,TRAPPC1
H3F3C,,,,,,,MRPL16,,,CHIC1
ZNF771,,,,,,,SAP30BP,,,DDO
FAM129A,,,,,,,MRPS31,,,OR4N4
GFPT1,,,,,,,ZNF304,,,TIGD6
KCNMB1,,,,,,,BEX5,,,DNPEP
MAP2K7,,,,,,,GABRA3,,,MRPL16
MTHFD2L,,,,,,,,,,TUBB
NCR3,,,,,,,,,,ZNF470
ANGPTL7,,,,,,,,,,KRTAP1-1
ALPK3,,,,,,,,,,KATNAL2
CCDC148,,,,,,,,,,PTCHD2
ZNF324B,,,,,,,,,,ARF5
USP51,,,,,,,,,,ATP5J2
FUT11,,,,,,,,,,TSPO
RP11-865B13.1,,,,,,,,,,CCDC37
BACE2,,,,,,,,,,SH3BP1
ZSCAN22,,,,,,,,,,CLNK
ZNF804A,,,,,,,,,,SREK1IP1
RHPN2,,,,,,,,,,NR6A1
GJC1,,,,,,,,,,GABRA3
GPD2,,,,,,,,,,XPA
FDFT1,,,,,,,,,,MLNR
BAZ2B,,,,,,,,,,XKR7
DIS3L2,,,,,,,,,,PRIM1
CLEC14A,,,,,,,,,,MSN
RTEL1,,,,,,,,,,RPS4Y1
TIMM9,,,,,,,,,,VCX3B
PUM2,,,,,,,,,,
DSC3,,,,,,,,,,
ITLN2,,,,,,,,,,
IDNK,,,,,,,,,,
BLVRB,,,,,,,,,,
TBCD,,,,,,,,,,
ST6GALNAC3,,,,,,,,,,
TMA16,,,,,,,,,,
LSG1,,,,,,,,,,
STEAP2,,,,,,,,,,
C1orf49,,,,,,,,,,
IPCEF1,,,,,,,,,,
HTR3B,,,,,,,,,,
IRF8,,,,,,,,,,
PAX1,,,,,,,,,,
HERC3,,,,,,,,,,
IFNAR2,,,,,,,,,,
ASB5,,,,,,,,,,
GGT6,,,,,,,,,,
AAGAB,,,,,,,,,,
WDR33,,,,,,,,,,
IFT81,,,,,,,,,,
FSIP2,,,,,,,,,,
AHSG,,,,,,,,,,
NEIL2,,,,,,,,,,
AP4M1,,,,,,,,,,
SH3BP4,,,,,,,,,,
ARRDC2,,,,,,,,,,
SLC2A8,,,,,,,,,,
SCRT1,,,,,,,,,,
MASTL,,,,,,,,,,
WRAP73,,,,,,,,,,
IGDCC4,,,,,,,,,,
CR2,,,,,,,,,,
SPRED1,,,,,,,,,,
PCK2,,,,,,,,,,
GLYCTK,,,,,,,,,,
BTG1,,,,,,,,,,
DOLPP1,,,,,,,,,,
DOLPP1,,,,,,,,,,
